,nW,n,utm48_x,utm48_y,x,y,z,lat,lon,zabs
380,380,380,397097.5389939258,5938054.507215422,-775.929,155.258,-2.609,53.581234074630714,103.44565866468723,467.391
381,381,381,397089.9979939258,5938053.673215421,-783.47,154.424,-2.868,53.58122510136106,103.44554507895423,467.132
382,382,382,397085.9879939258,5938052.179215421,-787.48,152.93,-2.559,53.581210890589986,103.44548502504254,467.441
383,383,383,397080.8099939258,5938051.480215421,-792.658,152.231,-2.656,53.58120359385848,103.44540707353924,467.344
384,384,384,397080.6789939258,5938049.253215421,-792.789,150.004,-2.703,53.581183558027966,103.44540582993045,467.297
385,385,385,397079.1969939258,5938046.861215421,-794.271,147.612,-2.258,53.58116177452525,103.44538424216897,467.742
386,386,386,397077.5599939258,5938045.877215421,-795.908,146.628,-2.237,53.58115261181688,103.44535984981238,467.763
387,387,387,397074.5559939258,5938046.878215421,-798.912,147.629,-2.482,53.58116101654042,103.44531416274982,467.518
388,388,388,397071.4069939258,5938049.117215421,-802.061,149.868,-2.315,53.58118051651418,103.44526587807262,467.685
389,389,389,397068.7449939258,5938050.858215421,-804.723,151.609,-2.871,53.58119563739519,103.4452251107352,467.129
390,390,390,397069.0749939258,5938051.001215422,-804.393,151.752,-3.322,53.581196987047235,103.44523004620406,466.678
391,391,391,397071.66599392577,5938049.5802154215,-801.802,150.331,-3.117,53.58118472750696,103.44526963599361,466.883
392,392,392,397074.90499392577,5938048.016215421,-798.563,148.767,-3.113,53.58117131022859,103.44531905698092,466.887
393,393,393,397077.6449939258,5938047.700215422,-795.823,148.451,-3.095,53.58116900858503,103.44536053207207,466.905
394,394,394,397080.1589939258,5938049.730215421,-793.309,150.481,-3.19,53.58118774194677,103.44539782122902,466.81
395,395,395,397076.9459939258,5938051.729215422,-796.522,152.48,-3.383,53.581205072938154,103.44534864937273,466.617
396,396,396,397073.9549939258,5938051.264215421,-799.513,152.015,-3.341,53.58120030785019,103.44530364197607,466.659
397,397,397,397071.6799939258,5938051.194215422,-801.788,151.945,-3.4,53.58119923242719,103.4452693151215,466.6
398,398,398,397064.1239939258,5938048.999215421,-809.344,149.75,-2.382,53.58117802693795,103.44515595194461,467.618
399,399,399,397057.27999392577,5938048.713215421,-816.188,149.464,-2.701,53.581174113905554,103.44505270964258,467.299
400,400,400,397055.8789939258,5938046.316215421,-817.589,147.067,-2.913,53.58115230131263,103.44503234672509,467.087
401,401,401,397052.7669939258,5938045.805215421,-820.701,146.556,-2.97,53.58114709903527,103.44498552763346,467.03
402,402,402,397050.6809939258,5938048.922215422,-822.787,149.673,-3.049,53.5811746965662,103.44495300331083,466.951
403,403,403,397043.7999939258,5938048.457215421,-829.668,149.208,-3.039,53.5811691677386,103.44484926142688,466.961
404,404,404,397036.9309939258,5938048.843215421,-836.537,149.594,-3.523,53.58117128761194,103.44474542002555,466.477
405,405,405,397032.08999392577,5938047.849215421,-841.378,148.6,-3.604,53.581161405916205,103.44467265436761,466.396
406,406,406,397029.4299939258,5938045.5402154215,-844.038,146.291,-4.339,53.58114013678662,103.44463325317147,465.661
